x,t,u_fem,u_pinn,error
0.8686868686868687,0.10101010101010102,0.30732684138543875,0.2966109433723098,0.010715898013128944
0.8787878787878789,0.10101010101010102,0.29998540919838806,0.2890679986360082,0.010917410562379881
0.888888888888889,0.10101010101010102,0.2913325363966951,0.28101754149175273,0.010314994904942365
0.8989898989898991,0.10101010101010102,0.2812154925639335,0.2718587322502879,0.009356760313645629
0.9090909090909092,0.10101010101010102,0.26680358005621185,0.2610417268571016,0.005761853199110267
0.9191919191919192,0.10101010101010102,0.25254690468016106,0.24814093439154747,0.0044059702886135865
0.9292929292929294,0.10101010101010102,0.2358426566238081,0.2327532013729207,0.003089455250887413
0.9393939393939394,0.10101010101010102,0.2162286453389049,0.21440289046924307,0.0018257548696618275
0.9494949494949496,0.10101010101010102,0.19315395262238005,0.19250965408966697,0.0006442985327130835
0.9595959595959597,0.10101010101010102,0.16597165378306802,0.16634085483341654,0.0003692010503485166
0.9696969696969697,0.10101010101010102,0.13393310744981082,0.13502256641425384,0.001089458964443013
0.9797979797979799,0.10101010101010102,0.09619833520876965,0.0975272172796234,0.001328882070853743
0.98989898989899,0.10101010101010102,0.05185906430929188,0.05281625102571283,0.0009571867164209491
1.0,0.10101010101010102,0.0,2.202493159259361e-16,2.202493159259361e-16
0.0,0.11111111111111112,0.0,0.0,0.0
0.010101010101010102,0.11111111111111112,0.04701709425250376,0.049691552226711344,0.002674457974207581
0.020202020202020204,0.11111111111111112,0.08756838448310791,0.09165253231123979,0.004084147828131879
0.030303030303030304,0.11111111111111112,0.12257285422821775,0.12691688997239903,0.004344035744181282
0.04040404040404041,0.11111111111111112,0.15282422154427983,0.15657612593750647,0.003751904393226646
0.05050505050505051,0.11111111111111112,0.17899735699200742,0.18155937900165484,0.002562022009647419
0.06060606060606061,0.11111111111111112,0.2016659399031661,0.20276627544908776,0.001100335545921649
0.07070707070707072,0.11111111111111112,0.22132105948227024,0.2209363028917812,0.00038475659048903266
0.08080808080808081,0.11111111111111112,0.23838325913374778,0.23664540911902865,0.0017378500147191278
0.09090909090909091,0.11111111111111112,0.2532097633743946,0.2503650300436791,0.0028447333307154987
0.10101010101010102,0.11111111111111112,0.268470613308546,0.26242258976601873,0.006048023542527259
0.11111111111111112,0.11111111111111112,0.27937381065792094,0.27303743544866854,0.006336375209252398
0.12121212121212122,0.11111111111111112,0.288844858781281,0.28241447898975375,0.006430379791527274
0.13131313131313133,0.11111111111111112,0.2970470173282189,0.2907429754313603,0.006304041896858625
0.14141414141414144,0.11111111111111112,0.30412863374522453,0.2982473880543314,0.005881245690893155
0.15151515151515152,0.11111111111111112,0.31033494523398863,0.3053486756635145,0.0049862695704741555
0.16161616161616163,0.11111111111111112,0.3176029036369018,0.31277325148020696,0.004829652156694841
0.17171717171717174,0.11111111111111112,0.3268978108192808,0.3217682260213507,0.005129584797930131
0.18181818181818182,0.11111111111111112,0.33892808651561096,0.33379054155285237,0.005137544962758589
0.19191919191919193,0.11111111111111112,0.35457593048864366,0.35004659405260247,0.004529336436041198
0.20202020202020204,0.11111111111111112,0.3748947513756616,0.37178592064565946,0.003108830730002121
0.21212121212121213,0.11111111111111112,0.40101420006354194,0.40032812730456024,0.0006860727589816928
0.22222222222222224,0.11111111111111112,0.43389616175729734,0.4362161081218947,0.0023199463645973695
0.23232323232323235,0.11111111111111112,0.4739042143908158,0.47885199939185774,0.004947785001041927
0.24242424242424243,0.11111111111111112,0.5202897222938896,0.5266083918703371,0.006318669576447555
0.25252525252525254,0.11111111111111112,0.570935235171718,0.5769441776374197,0.0060089424657017165
0.26262626262626265,0.11111111111111112,0.6227562847607168,0.6271398838580621,0.004383599097345314
0.27272727272727276,0.11111111111111112,0.6727170989374567,0.675225344976731,0.0025082460392743533
0.2828282828282829,0.11111111111111112,0.7187972656326642,0.7200885002458896,0.0012912346132253338
0.29292929292929293,0.11111111111111112,0.7602783129476053,0.7611817736329135,0.0009034606853082217
0.30303030303030304,0.11111111111111112,0.8042928194498349,0.7985086331796629,0.005784186270171965
0.31313131313131315,0.11111111111111112,0.8367228347837198,0.8321712284766718,0.004551606307047984
0.32323232323232326,0.11111111111111112,0.8654768326420432,0.8618972632669487,0.0035795693750945157
0.33333333333333337,0.11111111111111112,0.8902022782225745,0.8872934567339217,0.0029088214886527908
0.3434343434343435,0.11111111111111112,0.9102193711114768,0.9078539217530469,0.002365449358429861
0.3535353535353536,0.11111111111111112,0.9250092104967623,0.9231347347948963,0.0018744757018660518
0.36363636363636365,0.11111111111111112,0.93468382164325,0.9332887008872895,0.0013951207559604883
0.37373737373737376,0.11111111111111112,0.9400629973592147,0.9390441912297602,0.001018806129454486
0.38383838383838387,0.11111111111111112,0.9423438233515852,0.9415557500564294,0.0007880732951557334
0.393939393939394,0.11111111111111112,0.9426877003309876,0.9419214502843034,0.0007662500466841804
0.4040404040404041,0.11111111111111112,0.9419858843528596,0.9411027027370987,0.0008831816157608419
0.4141414141414142,0.11111111111111112,0.940822888263012,0.9399596024889075,0.0008632857741044386
0.42424242424242425,0.11111111111111112,0.9395401463633252,0.9388094491430161,0.0007306972203090512
0.43434343434343436,0.11111111111111112,0.9383181412537999,0.9377360340943787,0.0005821071594211968
0.4444444444444445,0.11111111111111112,0.9372420528291756,0.9368245055905335,0.00041754723864206866
0.4545454545454546,0.11111111111111112,0.9363452108112882,0.9361038378957576,0.00024137291553061324
0.4646464646464647,0.11111111111111112,0.9356350926741662,0.9355908765654631,4.42161087030879e-05
0.4747474747474748,0.11111111111111112,0.9351079372729257,0.9352729730894764,0.000165035816550696
0.48484848484848486,0.11111111111111112,0.9347566002246968,0.9351294335202862,0.00037283329558945866
0.494949494949495,0.11111111111111112,0.9345746085618859,0.9351375261054323,0.0005629175435464262
0.5050505050505051,0.11111111111111112,0.934574608561886,0.9353191341229979,0.0007445255611119306
0.5151515151515152,0.11111111111111112,0.9347566002246974,0.9357102735079086,0.000953673283211165
0.5252525252525253,0.11111111111111112,0.9351079372729258,0.936210109393178,0.0011021721202520984
0.5353535353535354,0.11111111111111112,0.935635092674165,0.9367992477202411,0.001164155046076143
0.5454545454545455,0.11111111111111112,0.9363452108112903,0.9375454479286088,0.0012002371173185367
0.5555555555555556,0.11111111111111112,0.9372420528291768,0.9384391968998084,0.0011971440706315395
0.5656565656565657,0.11111111111111112,0.9383181412538014,0.9394489580383587,0.001130816784557287
0.5757575757575758,0.11111111111111112,0.9395401463633258,0.9405690436396492,0.0010288972763233817
0.5858585858585859,0.11111111111111112,0.9408228882630107,0.9417373550010597,0.000914466738048958
0.595959595959596,0.11111111111111112,0.9419858843528573,0.9428397809105413,0.0008538965576839752
